Kategorie,Aktivität,Anbietername_original,Anbietername_verifiziert,Adresse_verifiziert,Stadt,Status,Google_Rating,Google_ReviewCount,Website,Telefon,Google_Maps_URL,Zweitquelle_URL,Notizen,Confidence,Check_Datum
Segelschule,Segel-Schnupperkurs auf der Alster,Segelschule Pieper,Segelschule Pieper,,Hamburg,OK_HAMBURG,,,https://www.segelschule-pieper.de,,https://www.google.com/maps/search/?api=1&query=Segelschule+Pieper+Hamburg,https://www.segelschule-pieper.de,Strukturierte Kurse mit Leihmaterial,mittel,2026-02-11
Segelclub,Segel-Schnupperkurs auf der Alster,"Norddeutscher Regatta Verein (NRV, Kurse/Events)","Norddeutscher Regatta Verein (NRV, Kurse/Events)",,Hamburg,OK_HAMBURG,,,https://www.nrv.de,,"https://www.google.com/maps/search/?api=1&query=Norddeutscher+Regatta+Verein+(NRV,+Kurse/Events)+Hamburg",https://www.nrv.de,Hohe Qualität pro Euro,mittel,2026-02-11
Segelschule,Segel-Schnupperkurs auf der Alster,Segelschule Meridian,Segelschule Meridian,,Hamburg,OK_HAMBURG,,,https://www.segelschule-meridian.de,,https://www.google.com/maps/search/?api=1&query=Segelschule+Meridian+Hamburg,https://www.segelschule-meridian.de,Gut für Team-Schnuppern,mittel,2026-02-11
Segelclub,Segel-Schnupperkurs auf der Alster,Hamburger Segel-Club (HSC) Eventformate,Hamburger Segel-Club (HSC) Eventformate,,Hamburg,OK_HAMBURG,,,https://www.hsc-hamburg.org,,https://www.google.com/maps/search/?api=1&query=Hamburger+Segel-Club+(HSC)+Eventformate+Hamburg,https://www.hsc-hamburg.org,Authentisches Club-Setting,mittel,2026-02-11
SUP/Kajak Verleih & Kurse,SUP-Einsteigerkurs auf der Alster,SUP CLUB Hamburg,SUP CLUB Hamburg,,Hamburg,OK_HAMBURG,4.7,,https://www.supclubhamburg.de,,https://www.google.com/maps/search/?api=1&query=SUP+CLUB+Hamburg+Hamburg,https://www.supclubhamburg.de,Gutes Preisniveau inkl. Material,mittel,2026-02-11
SUP Schule,SUP-Einsteigerkurs auf der Alster,SUPER SUP Hamburg,SUPER SUP Hamburg,,Hamburg,OK_HAMBURG,,,https://www.super-sup.de,,https://www.google.com/maps/search/?api=1&query=SUPER+SUP+Hamburg+Hamburg,https://www.super-sup.de,Faire Preise für Teams,mittel,2026-02-11
Kanu/Kajak Anbieter,SUP-Einsteigerkurs auf der Alster,KanuSport Hamburg,KanuSport Hamburg,,Hamburg,OK_HAMBURG,,,https://www.kanusport-hamburg.de,,https://www.google.com/maps/search/?api=1&query=KanuSport+Hamburg+Hamburg,https://www.kanusport-hamburg.de,Flexible Mietdauer,mittel,2026-02-11
Bootsverleih,SUP-Einsteigerkurs auf der Alster,Zur Gondel Alster (Bootsvermietung),Zur Gondel Alster (Bootsvermietung),,Hamburg,OK_HAMBURG,,,https://www.zur-gondel.de,,https://www.google.com/maps/search/?api=1&query=Zur+Gondel+Alster+(Bootsvermietung)+Hamburg,https://www.zur-gondel.de,Klassische Budget-Option,mittel,2026-02-11
Bootsverleih,SUP-Einsteigerkurs auf der Alster,Dornheim Bootsvermietung,Dornheim Bootsvermietung,,Hamburg,OK_HAMBURG,,,https://www.dornheim.de,,https://www.google.com/maps/search/?api=1&query=Dornheim+Bootsvermietung+Hamburg,https://www.dornheim.de,"Zentrale Lage, guter Gegenwert",mittel,2026-02-11
Bike Tours & Rental,Geführte Fahrradtour durch Hamburg,Hamburg City Cycles,Hamburg City Cycles,,Hamburg,OK_HAMBURG,,,https://www.hamburgcitycycles.de,,https://www.google.com/maps/search/?api=1&query=Hamburg+City+Cycles+Hamburg,https://www.hamburgcitycycles.de,"Englisch/Deutsch, gute Guidequalität",mittel,2026-02-11
Bike Sharing,Geführte Fahrradtour durch Hamburg,StadtRAD Hamburg,StadtRAD Hamburg,,Hamburg,OK_HAMBURG,,,https://www.stadtradhamburg.de,,https://www.google.com/maps/search/?api=1&query=StadtRAD+Hamburg+Hamburg,https://www.stadtradhamburg.de,Top Budget-Basis für DIY-Touren,mittel,2026-02-11
Geführte Radtouren,Geführte Fahrradtour durch Hamburg,Hamburg Cycle Tours,Hamburg Cycle Tours,,Hamburg,OK_HAMBURG,,,https://hamburgcycletours.com,,https://www.google.com/maps/search/?api=1&query=Hamburg+Cycle+Tours+Hamburg,https://hamburgcycletours.com,Fokus auf Highlights in kurzer Zeit,mittel,2026-02-11
Fahrradverleih,Geführte Fahrradtour durch Hamburg,Zweiradperle Hamburg,Zweiradperle Hamburg,,Hamburg,OK_HAMBURG,,,https://www.zweiradperle.de,,https://www.google.com/maps/search/?api=1&query=Zweiradperle+Hamburg+Hamburg,https://www.zweiradperle.de,Gut für freie Tourplanung,mittel,2026-02-11
Stadtführungen,St. Pauli Kieztour am Abend,Stattreisen Hamburg,Stattreisen Hamburg,,Hamburg,OK_HAMBURG,,,https://www.stattreisen-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Stattreisen+Hamburg+Hamburg,https://www.stattreisen-hamburg.de,Starker Content pro Euro,mittel,2026-02-11
Kostenlose Local-Walks (Trinkgeld),St. Pauli Kieztour am Abend,Hamburg Greeter,Hamburg Greeter,,Hamburg,OK_HAMBURG,,,https://www.hamburg-greeter.de,,https://www.google.com/maps/search/?api=1&query=Hamburg+Greeter+Hamburg,https://www.hamburg-greeter.de,Maximaler Gegenwert für kleines Budget,mittel,2026-02-11
Kieztouren,St. Pauli Kieztour am Abend,Kiezjungs,Kiezjungs,,Hamburg,OK_HAMBURG,,,https://www.kiezjungs.com,,https://www.google.com/maps/search/?api=1&query=Kiezjungs+Hamburg,https://www.kiezjungs.com,"Authentische Guides, gutes Storytelling",mittel,2026-02-11
Stadtführungen,St. Pauli Kieztour am Abend,Robin and the Tourguides,Robin and the Tourguides,,Hamburg,OK_HAMBURG,,,https://www.robinandthetourguides.de,,https://www.google.com/maps/search/?api=1&query=Robin+and+the+Tourguides+Hamburg,https://www.robinandthetourguides.de,"Mehrsprachig, hohe Guidequalität",mittel,2026-02-11
Walking Tours,St. Pauli Kieztour am Abend,Original Hamburg Walks,Original Hamburg Walks,,Hamburg,OK_HAMBURG,,,https://www.hamburgwalks.com,,https://www.google.com/maps/search/?api=1&query=Original+Hamburg+Walks+Hamburg,https://www.hamburgwalks.com,Gutes Einsteigerformat,mittel,2026-02-11
Kulturinstitution,Elbphilharmonie Plaza & Architekturführung,Elbphilharmonie (offizielle Plaza/Führungen),Elbphilharmonie (offizielle Plaza/Führungen),,Hamburg,OK_HAMBURG,,,https://www.elbphilharmonie.de,,https://www.google.com/maps/search/?api=1&query=Elbphilharmonie+(offizielle+Plaza/Führungen)+Hamburg,https://www.elbphilharmonie.de,Ikonische Location mit gutem Value,mittel,2026-02-11
Musicalveranstalter,Elbphilharmonie Plaza & Architekturführung,Stage Entertainment Hamburg,Stage Entertainment Hamburg,,Hamburg,OK_HAMBURG,,,https://www.stage-entertainment.de,,https://www.google.com/maps/search/?api=1&query=Stage+Entertainment+Hamburg+Hamburg,https://www.stage-entertainment.de,Hohe Produktionsqualität bei Deal-Tickets,mittel,2026-02-11
Theater,Elbphilharmonie Plaza & Architekturführung,Thalia Theater,Thalia Theater,,Hamburg,OK_HAMBURG,,,https://www.thalia-theater.de,,https://www.google.com/maps/search/?api=1&query=Thalia+Theater+Hamburg,https://www.thalia-theater.de,Hoher Kulturwert bei Ermäßigung,mittel,2026-02-11
Kulturzentrum,Elbphilharmonie Plaza & Architekturführung,Kampnagel,Kampnagel,,Hamburg,OK_HAMBURG,,,https://kampnagel.de,,https://www.google.com/maps/search/?api=1&query=Kampnagel+Hamburg,https://kampnagel.de,Innovatives Programm mit fairem Preis,mittel,2026-02-11
Museum,Elbphilharmonie Plaza & Architekturführung,Hamburger Kunsthalle,Hamburger Kunsthalle,,Hamburg,OK_HAMBURG,,,https://www.hamburger-kunsthalle.de,,https://www.google.com/maps/search/?api=1&query=Hamburger+Kunsthalle+Hamburg,https://www.hamburger-kunsthalle.de,Starker Gegenwert für Kulturgruppen,mittel,2026-02-11
Escape Room,Escape Room klassisch (60 Min),TeamEscape Hamburg,TeamEscape Hamburg,,Hamburg,OK_HAMBURG,,,https://www.teamescape.com/hamburg,,https://www.google.com/maps/search/?api=1&query=TeamEscape+Hamburg+Hamburg,https://www.teamescape.com/hamburg,Hoher Teamfaktor bei fairen Gruppenkosten,mittel,2026-02-11
Escape Room,Escape Room klassisch (60 Min),Big Break Hamburg,Big Break Hamburg,,Hamburg,OK_HAMBURG,,,https://bigbreakhamburg.de,,https://www.google.com/maps/search/?api=1&query=Big+Break+Hamburg+Hamburg,https://bigbreakhamburg.de,Gutes Preis-/Spielzeit-Verhältnis,mittel,2026-02-11
Escape/Adventure Rooms,Escape Room klassisch (60 Min),Skurrilum St. Pauli,Skurrilum St. Pauli,,Hamburg,OK_HAMBURG,,,https://www.skurrilum.de,,https://www.google.com/maps/search/?api=1&query=Skurrilum+St.+Pauli+Hamburg,https://www.skurrilum.de,"Atmosphärische Räume, guter Value",mittel,2026-02-11
Escape Room,Escape Room klassisch (60 Min),EscapeDiem,EscapeDiem,,Hamburg,OK_HAMBURG,,,https://escapediem.de,,https://www.google.com/maps/search/?api=1&query=EscapeDiem+Hamburg,https://escapediem.de,Gutes Preisniveau für kleine Teams,mittel,2026-02-11
Escape Room,Escape Room klassisch (60 Min),AdventureRooms Hamburg,AdventureRooms Hamburg,,Hamburg,OK_HAMBURG,,,https://www.adventurerooms.de/hamburg,,https://www.google.com/maps/search/?api=1&query=AdventureRooms+Hamburg+Hamburg,https://www.adventurerooms.de/hamburg,Budgetfreundlich bei Off-Peak,mittel,2026-02-11
VR Arcade,VR Escape Experience,Hologate World Hamburg,Hologate World Hamburg,,Hamburg,OK_HAMBURG,,,https://www.hologate-world.com,,https://www.google.com/maps/search/?api=1&query=Hologate+World+Hamburg+Hamburg,https://www.hologate-world.com,Niedrige Einstiegskosten pro Person,mittel,2026-02-11
VR Experience,VR Escape Experience,VRHQ Hamburg,VRHQ Hamburg,,Hamburg,OK_HAMBURG,,,https://www.vrhq.de,,https://www.google.com/maps/search/?api=1&query=VRHQ+Hamburg+Hamburg,https://www.vrhq.de,Guter Teamwert pro Slot,mittel,2026-02-11
VR Lounge,VR Escape Experience,Virtual Reality Lounge Hamburg,Virtual Reality Lounge Hamburg,,Hamburg,OK_HAMBURG,,,https://vr-lounge.hamburg,,https://www.google.com/maps/search/?api=1&query=Virtual+Reality+Lounge+Hamburg+Hamburg,https://vr-lounge.hamburg,Transparentes Paketpricing,mittel,2026-02-11
Arcade Venue,VR Escape Experience,RCADIA (Gaming/Arcade),RCADIA (Gaming/Arcade),,Hamburg,OK_HAMBURG,,,https://rcadia.de,,https://www.google.com/maps/search/?api=1&query=RCADIA+(Gaming/Arcade)+Hamburg,https://rcadia.de,Viel Auswahl für kleinen Preis,mittel,2026-02-11
Lasertag/VR Venue,VR Escape Experience,Laser Planet Hamburg (VR Add-ons),Laser Planet Hamburg (VR Add-ons),,Hamburg,OK_HAMBURG,,,https://www.laserplanet.de/hamburg,,https://www.google.com/maps/search/?api=1&query=Laser+Planet+Hamburg+(VR+Add-ons)+Hamburg,https://www.laserplanet.de/hamburg,Mehr Aktivität pro Budget,mittel,2026-02-11
Lasertag Arena,Lasertag Team Battle,LaserPlanet Hamburg,LaserPlanet Hamburg,,Hamburg,OK_HAMBURG,,,https://www.laserplanet.de/hamburg,,https://www.google.com/maps/search/?api=1&query=LaserPlanet+Hamburg+Hamburg,https://www.laserplanet.de/hamburg,Zuverlässiges Team-Event Preisniveau,mittel,2026-02-11
Paintball,Lasertag Team Battle,Paintball Arena Hamburg,Paintball Arena Hamburg,,Hamburg,OK_HAMBURG,,,https://www.paintballarena-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Paintball+Arena+Hamburg+Hamburg,https://www.paintballarena-hamburg.de,Guter Value für Einsteigergruppen,mittel,2026-02-11
Axtwerfen,Lasertag Team Battle,WoodCutter Hamburg,WoodCutter Hamburg,,Hamburg,OK_HAMBURG,,,https://woodcutter.world,,https://www.google.com/maps/search/?api=1&query=WoodCutter+Hamburg+Hamburg,https://woodcutter.world,"Kurzes, intensives Format mit gutem Gegenwert",mittel,2026-02-11
Trampolinpark,Lasertag Team Battle,Jump House Hamburg,Jump House Hamburg,,Hamburg,OK_HAMBURG,,,https://www.jumphouse.de/hamburg,,https://www.google.com/maps/search/?api=1&query=Jump+House+Hamburg+Hamburg,https://www.jumphouse.de/hamburg,Viel Aktivzeit für moderaten Preis,mittel,2026-02-11
Freizeitpark indoor,Lasertag Team Battle,Rabattz (Bramfeld),Rabattz (Bramfeld),,Hamburg,OK_HAMBURG,,,https://www.rabattz.de,,https://www.google.com/maps/search/?api=1&query=Rabattz+(Bramfeld)+Hamburg,https://www.rabattz.de,Budgetfreundlich bei längerer Dauer,mittel,2026-02-11
Boulderhalle,Bouldern für Einsteiger,Nordwandhalle Hamburg,Nordwandhalle Hamburg,,Hamburg,OK_HAMBURG,,,https://www.nordwandhalle.de,,https://www.google.com/maps/search/?api=1&query=Nordwandhalle+Hamburg+Hamburg,https://www.nordwandhalle.de,Starker Sportwert pro Euro,mittel,2026-02-11
Boulderhalle,Bouldern für Einsteiger,Flashh Boulderhalle,Flashh Boulderhalle,,Hamburg,OK_HAMBURG,,,https://www.flashh.de,,https://www.google.com/maps/search/?api=1&query=Flashh+Boulderhalle+Hamburg,https://www.flashh.de,Gute Routenvielfalt für den Preis,mittel,2026-02-11
Kletterhalle DAV,Bouldern für Einsteiger,Kletterzentrum Hamburg,Kletterzentrum Hamburg,,Hamburg,OK_HAMBURG,,,https://www.kletterzentrum-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Kletterzentrum+Hamburg+Hamburg,https://www.kletterzentrum-hamburg.de,Günstig bei wiederholter Nutzung,mittel,2026-02-11
Indoor Minigolf,Schwarzlicht-Minigolf,Schwarzlichtviertel Hamburg,Schwarzlichtviertel,"Kieler Str. 571, 22525 Hamburg",Hamburg,OK_HAMBURG,4.5,5000.0,https://www.schwarzlichtviertel.de,+49 40 219019150,https://www.google.com/maps/search/?api=1&query=Schwarzlichtviertel+Hamburg,https://www.schwarzlichtviertel.de,Hohes Erlebnislevel für fairen Preis,hoch,2026-02-11
Bowling,Schwarzlicht-Minigolf,Gilde Bowling 44,Gilde Bowling 44,,Hamburg,OK_HAMBURG,,,https://www.gilde-bowling.de,,https://www.google.com/maps/search/?api=1&query=Gilde+Bowling+44+Hamburg,https://www.gilde-bowling.de,Sehr guter Gruppenwert,mittel,2026-02-11
Bowling,Schwarzlicht-Minigolf,Bowling World Hamburg,Bowling World Hamburg,,Hamburg,OK_HAMBURG,,,https://www.bowlingworld.de,,https://www.google.com/maps/search/?api=1&query=Bowling+World+Hamburg+Hamburg,https://www.bowlingworld.de,Off-Peak sehr preiswert,mittel,2026-02-11
Entertainment Venue,Schwarzlicht-Minigolf,UCI Mundsburg (Eventkino/Karaoke-Partner),UCI Mundsburg (Eventkino/Karaoke-Partner),,Hamburg,OK_HAMBURG,,,https://www.uci-kinowelt.de,,https://www.google.com/maps/search/?api=1&query=UCI+Mundsburg+(Eventkino/Karaoke-Partner)+Hamburg,https://www.uci-kinowelt.de,Planbar für Kombi-Abende,mittel,2026-02-11
Karaoke Bar,Schwarzlicht-Minigolf,Kyti Voo / Karaoke Bars St. Pauli,Kyti Voo / Karaoke Bars St. Pauli,,Hamburg,OK_HAMBURG,,,https://www.kytivoo.de,,https://www.google.com/maps/search/?api=1&query=Kyti+Voo+/+Karaoke+Bars+St.+Pauli+Hamburg,https://www.kytivoo.de,Niedrige Einstiegskosten,mittel,2026-02-11
Cocktailkurse & Tastings,Cocktailkurs mit Bar-Profi,Rolling Taste,Rolling Taste,,Hamburg,OK_HAMBURG,,,https://www.rolling-taste.de,,https://www.google.com/maps/search/?api=1&query=Rolling+Taste+Hamburg,https://www.rolling-taste.de,"Inklusive Zutaten, guter Gegenwert",mittel,2026-02-11
Kochschule,Cocktailkurs mit Bar-Profi,Kochschule Hamburg,Kochschule Hamburg,,Hamburg,OK_HAMBURG,,,https://www.kochschule-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Kochschule+Hamburg+Hamburg,https://www.kochschule-hamburg.de,Komplettpaket reduziert Zusatzkosten,mittel,2026-02-11
Craft Beer Venue,Cocktailkurs mit Bar-Profi,ÜberQuell Brauwerkstätten,ÜberQuell Brauwerkstätten,,Hamburg,OK_HAMBURG,,,https://ueberquell.com,,https://www.google.com/maps/search/?api=1&query=ÜberQuell+Brauwerkstätten+Hamburg,https://ueberquell.com,Hohe Qualität zu fairen Tastingpreisen,mittel,2026-02-11
Brauerei/Tastings,Cocktailkurs mit Bar-Profi,Ratsherrn Brauerei,Ratsherrn Brauerei,,Hamburg,OK_HAMBURG,,,https://www.ratsherrn.de,,https://www.google.com/maps/search/?api=1&query=Ratsherrn+Brauerei+Hamburg,https://www.ratsherrn.de,Lernfaktor + Tasting in einem,mittel,2026-02-11
Kaffeerösterei,Cocktailkurs mit Bar-Profi,Elbgold Röstkaffee,Elbgold Röstkaffee,,Hamburg,OK_HAMBURG,,,https://www.elbgold.com,,https://www.google.com/maps/search/?api=1&query=Elbgold+Röstkaffee+Hamburg,https://www.elbgold.com,Hohe Produktqualität für Kurspreis,mittel,2026-02-11
Food Tour Anbieter,Food Tour Sternschanze/Karoviertel,Eat the World Hamburg,Eat the World Hamburg,,Hamburg,OK_HAMBURG,,,https://www.eat-the-world.com/hamburg,,https://www.google.com/maps/search/?api=1&query=Eat+the+World+Hamburg+Hamburg,https://www.eat-the-world.com/hamburg,Mehrere Stops inklusive = guter Value,mittel,2026-02-11
Kulinarische Touren,Food Tour Sternschanze/Karoviertel,Adventure World Tours Hamburg,Adventure World Tours Hamburg,,Hamburg,OK_HAMBURG,,,https://www.adventure-world-tours.de,,https://www.google.com/maps/search/?api=1&query=Adventure+World+Tours+Hamburg+Hamburg,https://www.adventure-world-tours.de,Flexible Formate für Firmen/Teams,mittel,2026-02-11
Tourveranstalter,Food Tour Sternschanze/Karoviertel,Stattreisen (kulinarische Spezialtouren),Stattreisen (kulinarische Spezialtouren),,Hamburg,OK_HAMBURG,,,https://www.stattreisen-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Stattreisen+(kulinarische+Spezialtouren)+Hamburg,https://www.stattreisen-hamburg.de,Inhaltsstark + lokale Food-Spots,mittel,2026-02-11
Food Tour Spezialist,Food Tour Sternschanze/Karoviertel,Hamburg Food Tour,Hamburg Food Tour,,Hamburg,OK_HAMBURG,,,https://www.hamburgfoodtour.de,,https://www.google.com/maps/search/?api=1&query=Hamburg+Food+Tour+Hamburg,https://www.hamburgfoodtour.de,Transparente Leistung je Preis,mittel,2026-02-11
Gastro-Erlebnis,Food Tour Sternschanze/Karoviertel,Fischereihafen Restaurant Markttouren/Partner,Fischereihafen Restaurant Markttouren/Partner,,Hamburg,OK_HAMBURG,,,https://www.fischereihafenrestaurant.de,,https://www.google.com/maps/search/?api=1&query=Fischereihafen+Restaurant+Markttouren/Partner+Hamburg,https://www.fischereihafenrestaurant.de,Geeignet für hochwertige Gruppenformate,mittel,2026-02-11
Fotokurse,Fotowalk Speicherstadt bei Nacht,Fotokurs Hamburg,Fotokurs Hamburg,,Hamburg,OK_HAMBURG,,,https://www.fotokurs-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Fotokurs+Hamburg+Hamburg,https://www.fotokurs-hamburg.de,Schneller Skill-Gewinn pro Euro,mittel,2026-02-11
Fotografie Schule,Fotowalk Speicherstadt bei Nacht,ISO800 Schule für Fotografie,ISO800 Schule für Fotografie,,Hamburg,OK_HAMBURG,,,https://www.iso800.de,,https://www.google.com/maps/search/?api=1&query=ISO800+Schule+für+Fotografie+Hamburg,https://www.iso800.de,Passende Kursgröße/Preis,mittel,2026-02-11
Kreativ-Workshop,Fotowalk Speicherstadt bei Nacht,Viva con Agua ARTS / Graffiti Workshops,Viva con Agua ARTS / Graffiti Workshops,,Hamburg,OK_HAMBURG,,,https://www.vivaconagua.org,,https://www.google.com/maps/search/?api=1&query=Viva+con+Agua+ARTS+/+Graffiti+Workshops+Hamburg,https://www.vivaconagua.org,Sozialer Impact + Erlebnis,mittel,2026-02-11
Keramik bemalen,Fotowalk Speicherstadt bei Nacht,Paint your Style Hamburg,Paint your Style Hamburg,,Hamburg,OK_HAMBURG,,,https://www.paintyourstyle.eu/studios/hamburg,,https://www.google.com/maps/search/?api=1&query=Paint+your+Style+Hamburg+Hamburg,https://www.paintyourstyle.eu/studios/hamburg,"Planbare Kosten, kreativ hoher Mehrwert",mittel,2026-02-11
DIY Workshops,Fotowalk Speicherstadt bei Nacht,Kreativwerkstatt Hamburg,Kreativwerkstatt Hamburg,,Hamburg,OK_HAMBURG,,,https://www.kreativwerkstatt-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Kreativwerkstatt+Hamburg+Hamburg,https://www.kreativwerkstatt-hamburg.de,Gute Planbarkeit fürs Budget,mittel,2026-02-11
Tanzschule,Tanzkurs (Salsa/Bachata),Salsa on5 Hamburg,Salsa on5 Hamburg,,Hamburg,OK_HAMBURG,,,https://www.salsa-on5.de,,https://www.google.com/maps/search/?api=1&query=Salsa+on5+Hamburg+Hamburg,https://www.salsa-on5.de,Niedrige Einstiegskosten,mittel,2026-02-11
Tanzschule,Tanzkurs (Salsa/Bachata),Tanzschule Ring 3,Tanzschule Ring 3,,Hamburg,OK_HAMBURG,,,https://www.tanzschule-ring3.de,,https://www.google.com/maps/search/?api=1&query=Tanzschule+Ring+3+Hamburg,https://www.tanzschule-ring3.de,Hoher Gegenwert bei Mehrwochenkursen,mittel,2026-02-11
Yogastudio,Tanzkurs (Salsa/Bachata),Yoga Vidya Hamburg,Yoga Vidya Hamburg,,Hamburg,OK_HAMBURG,,,https://www.yoga-vidya.de/hamburg,,https://www.google.com/maps/search/?api=1&query=Yoga+Vidya+Hamburg+Hamburg,https://www.yoga-vidya.de/hamburg,Flexible Preismodelle,mittel,2026-02-11
Spa/Wellness,Tanzkurs (Salsa/Bachata),Kaifu Lodge Spa,Kaifu Lodge Spa,,Hamburg,OK_HAMBURG,,,https://www.kaifu-lodge.de,,https://www.google.com/maps/search/?api=1&query=Kaifu+Lodge+Spa+Hamburg,https://www.kaifu-lodge.de,Kombi aus Sauna/Fitness erhöht Value,mittel,2026-02-11
Floating Spa,Tanzkurs (Salsa/Bachata),FLOAT Hamburg,FLOAT Hamburg,,Hamburg,OK_HAMBURG,,,https://www.float-hamburg.de,,https://www.google.com/maps/search/?api=1&query=FLOAT+Hamburg+Hamburg,https://www.float-hamburg.de,Premium-Erlebnis mit Bundle-Rabatt,mittel,2026-02-11
Beach Club,Strandtag & Beachgames in Blankenese,StrandPauli Hamburg,StrandPauli Hamburg,,Hamburg,OK_HAMBURG,,,https://www.strandpauli.de,,https://www.google.com/maps/search/?api=1&query=StrandPauli+Hamburg+Hamburg,https://www.strandpauli.de,Günstig als lockeres Teamevent,mittel,2026-02-11
Kartbahn,Strandtag & Beachgames in Blankenese,Kartcenter Hamburg-Stellingen,Kartcenter Hamburg-Stellingen,,Hamburg,OK_HAMBURG,,,https://www.kartcenter-hamburg.de,,https://www.google.com/maps/search/?api=1&query=Kartcenter+Hamburg-Stellingen+Hamburg,https://www.kartcenter-hamburg.de,Gute Preisstruktur für Teamrennen,mittel,2026-02-11
